id,question,desired_answer,student_answer,score_me,score_other,score_avg,wmd_score,cosine_similarity
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,high risk problem address prototype program make sure program feasible prototype may also used show company software possibly programmed,4.0,3.0,3.5,1.187336332708295,0.07593613519629201
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulate portion desired final product quick easy program small specific job way help see problem may solve final project,5.0,5.0,5.0,1.0019995395205423,0.3059182700927912
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,prototype program simulates behavior portion desired software product allow error checking,5.0,3.0,4.0,0.7601985090659809,0.4724667635369242
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,defined specification phase prototype stimulates behavior portion desired software product meaning role prototype temporary solution program refined used extensively problem solving,5.0,5.0,5.0,1.0132896904620465,0.29999150204792496
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,used let user first idea completed program allow client evaluate program generate much feedback including software specification project estimation total project,3.0,3.0,3.0,1.1843055756142045,0.06505632235194592
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,find problem error program finalized,2.0,2.0,2.0,1.2824260633525417,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,address major issue creation program way account possible bug program possible prove program tangible,3.0,2.0,2.5,1.2658989364106865,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,break whole program prototype program simulate part final program,5.0,5.0,5.0,1.1179227151280018,0.1255936549929934
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,name,5.0,2.0,3.5,1.3833379118840725,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulating behavior portion desired software product,5.0,5.0,5.0,0.33417448390334287,0.5830559977262657
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,program stimulates behavior portion desired software product,5.0,5.0,5.0,0.5504746887209158,0.5710035612681829
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,program simulates behavior portion desired software product,5.0,5.0,5.0,0.4742671127443251,0.5870637494084254
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,lay basic give starting point actual problem solving,2.0,2.0,2.0,1.2967657654088713,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulate problem solving part problem,4.0,5.0,4.5,1.0342246204528536,0.16953533784483057
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,prototype program provides basic groundwork enhance improve solution problem,2.0,2.0,2.0,1.2439805855053458,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,prototype program part specification phase software problem solvin employed illustrate key problem problem solved program sometimes serf base program expand upon,4.0,5.0,4.5,1.1979809693772172,0.06621545427515192
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,program simulates behavior portion desired software product,5.0,5.0,5.0,0.4742671127443251,0.5870637494084254
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,provides limited proof concept verify client actually programming whole application,2.0,2.0,2.0,1.2341024911510363,0.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,test main function program leaving finer detail,2.0,2.0,2.0,1.2774061746220289,0.0
